B00001,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,,,,,,,,
B00001,dimensions,,,,,,,,
B00001,values,['Total '],,,,,,,
B24042,values,,"['Male:', 'Female:']","['Transportation and warehousing, and utilities:', 'Agriculture, forestry, fishing and hunting, and mining:', 'Wholesale trade', 'Public administration', 'Information', 'Finance and insurance, and real estate and rental and leasing:', 'Other services, except public administration', '', 'Retail trade', 'Construction ', 'Manufacturing', 'Professional, scientific, and management, and administrative and waste management services:', 'Arts, entertainment, and recreation, and accommodation and food services:', 'Educational services, and health care and social assistance:']","['', 'Mining, quarrying, and oil and gas extraction', 'Arts, entertainment, and recreation', 'Utilities ', 'Transportation and warehousing', 'Professional, scientific, and technical services', 'Management of companies and enterprises', 'Educational services', 'Health care and social assistance', 'Administrative and support and waste management services', 'Accommodation and food services', 'Finance and insurance ', 'Agriculture, forestry, fishing and hunting', 'Real estate and rental and leasing ']",,,,
C24040,"SEX BY INDUSTRY FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",,,,,,,,
C24040,dimensions,,Sex,Industry,Industry,,,,
C24040,values,['Total:'],"['Male:', 'Female:']","['Transportation and warehousing, and utilities:', 'Agriculture, forestry, fishing and hunting, and mining:', 'Wholesale trade', 'Public administration', 'Information', 'Finance and insurance, and real estate and rental and leasing:', 'Other services, except public administration', '', 'Retail trade', 'Construction', 'Manufacturing', 'Professional, scientific, and management, and administrative and waste management services:', 'Arts, entertainment, and recreation, and accommodation and food services:', 'Educational services, and health care and social assistance:']","['', '   Management of companies and enterprises', '   Utilities', '   Health care and social assistance', '   Professional, scientific, and technical services', '   Educational services', '   Accommodation and food services', '   Transportation and warehousing', '   Finance and insurance', '   Real estate and rental and leasing', '   Arts, entertainment, and recreation', '   Agriculture, forestry, fishing and hunting', '   Administrative and support and waste management services', '   Mining, quarrying, and oil and gas extraction']",,,,
C24050,INDUSTRY BY OCCUPATION FOR THE CIVILIAN  EMPLOYED POPULATION 16 YEARS AND OVER,,,,,,,,
C24050,dimensions,,Occupation,Industry,,,,,
C24050,values,['Total:'],"['Service occupations:', 'Management, business, science, and arts occupations:', 'Sales and office occupations:', 'Natural resources, construction, and maintenance occupations:', 'Production, transportation, and material moving occupations:']","['', 'Information', 'Wholesale trade', 'Public administration', 'Arts, entertainment, and recreation, and accommodation and food services', 'Educational services, and health care and social assistance', 'Other services, except public administration', 'Finance and insurance, and real estate and rental and leasing', 'Retail trade', 'Transportation and warehousing, and utilities', 'Agriculture, forestry, fishing and hunting, and mining', 'Construction', 'Manufacturing', 'Professional, scientific, and management, and administrative and waste management services']",,,,,
B24080,SEX BY CLASS OF WORKER FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,,,,,,,,
B24080,dimensions,,Sex,Class of Worker,Class of Worker,,,,
B24080,values,['Total:'],"['Male:', 'Female:']","['', 'Private for-profit wage and salary workers:', 'Local government workers', 'Self-employed in own not incorporated business workers', 'Unpaid family workers', 'Federal government workers', 'Private not-for-profit wage and salary workers', 'State government workers']","['', 'Employee of private company workers', 'Self-employed in own incorporated business workers']",,,,
B24081,CLASS OF WORKER  BY MEDIAN EARNINGS IN THE PAST 12 MONTHS  FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,,,,,,,,
B24081,dimensions,,Class of Worker,Class of Worker,,,,,
B24081,values,['Total:'],"['Private for-profit wage and salary workers:', 'Self-employed in own not incorporated business workers and unpaid family workers', 'Local government workers', 'Private not-for-profit wage and salary workers', 'Federal government workers', 'State government workers']","['', 'Employee of private company workers', 'Self-employed in own incorporated business workers']",,,,,
B24082,SEX BY CLASS OF WORKER AND MEDIAN EARNINGS IN THE PAST 12 MONTHS  FOR THE  CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,,,,,,,,
B24082,dimensions,,Sex,Class of Worker,Class of Worker,,,,
B24082,values,,"['Male:', 'Female:']","['', 'Private for-profit wage and salary workers:', 'Self-employed in own not incorporated business workers and unpaid family workers', 'Local government workers', 'Private not-for-profit wage and salary workers', 'Federal government workers', 'State government workers']","['', 'Employee of private company workers', 'Self-employed in own incorporated business workers']",,,,
B24090,"SEX BY CLASS OF WORKER FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",,,,,,,,
B24090,dimensions,,Sex,Class of Worker,Class of Worker,,,,
B24090,values,['Total:'],"['Male:', 'Female:']","['', 'Private for-profit wage and salary workers:', 'Local government workers', 'Self-employed in own not incorporated business workers', 'Unpaid family workers', 'Federal government workers', 'Private not-for-profit wage and salary workers', 'State government workers']","['', 'Employee of private company workers', 'Self-employed in own incorporated business workers']",,,,
B24091,"CLASS OF WORKER BY MEDIAN EARNINGS IN THE PAST 12 MONTHS  FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",,,,,,,,
B24091,dimensions,,Class of Worker,Class of Worker,,,,,
B24091,values,['Total:'],"['Private for-profit wage and salary workers:', 'Self-employed in own not incorporated business workers and unpaid family workers', 'Local government workers', 'Private not-for-profit wage and salary workers', 'Federal government workers', 'State government workers']","['', 'Employee of private company workers', 'Self-employed in own incorporated business workers']",,,,,
B24092,"SEX BY CLASS OF WORKER AND MEDIAN EARNINGS IN THE PAST 12 MONTHS  FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",,,,,,,,
B24092,dimensions,,Sex,Class of Worker,Class of Worker,,,,
B24092,values,,"['Male:', 'Female:']","['', 'Private for-profit wage and salary workers:', 'Self-employed in own not incorporated business workers and unpaid family workers', 'Local government workers', 'Private not-for-profit wage and salary workers', 'Federal government workers', 'State government workers']","['', 'Employee of private company workers', 'Self-employed in own incorporated business workers']",,,,
C24060,OCCUPATION BY CLASS OF WORKER FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,,,,,,,,
C24060,dimensions,,Class of Worker,Occupation,,,,,
C24060,values,['Total:'],"['Employee of private company workers:', 'Self-employed in own incorporated business workers:', 'Self-employed in own not incorporated business workers and unpaid family workers:', 'Private not-for-profit wage and salary workers:', 'Local, state, and federal government workers:']","['', 'Natural resources, construction, and maintenance occupations', 'Management, business, science, and arts occupations', 'Sales and office occupations', 'Service occupations', 'Production, transportation, and material moving occupations']",,,,,
C24070,INDUSTRY BY CLASS OF WORKER FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,,,,,,,,
C24070,dimensions,,Class of Worker,Industry,,,,,
C24070,values,['Total:'],"['Employee of private company workers:', 'Self-employed in own incorporated business workers:', 'Self-employed in own not incorporated business workers and unpaid family workers:', 'Private not-for-profit wage and salary workers:', 'Local, state, and federal government workers:']","['Transportation and warehousing, and utilities:', 'Agriculture, forestry, fishing and hunting, and mining:', 'Wholesale trade', 'Public administration', 'Information', 'Educational services, and  health care and social assistance', 'Finance and insurance, and real estate and rental and leasing:', 'Educational services, and  health care and social assistance:', 'Arts, entertainment, and recreation, and accommodation and food services', 'Finance and insurance, and real estate and rental and leasing', 'Retail trade', 'Transportation and warehousing, and utilities', 'Agriculture, forestry, fishing and hunting, and mining', 'Construction', 'Professional, scientific, and management, and administrative and waste management services', 'Manufacturing', 'Professional, scientific, and management, and administrative and waste management services:', 'Other services, except public administration', 'Arts, entertainment, and recreation, and accommodation and food services:', '']",,,,,
B24121,"DETAILED OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS  FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",,,,,,,,
B24121,dimensions,,Occupation,,,,,,
B24121,values,['Total:'],"['Network and computer systems administrators', 'Ushers, lobby attendants, and ticket takers', 'Athletes, coaches, umpires, and related workers', 'Construction laborers', 'Dispatchers', 'Computer, automated teller, and office machine repairers', 'Rail-track laying and maintenance equipment operators', 'Postal service mail sorters, processors, and processing machine operators', 'Adhesive bonding machine operators and tenders', 'Crane and tower operators', 'Miscellaneous therapists, including exercise physiologists', 'Environmental engineers', 'Paralegals and legal assistants', 'Transit and railroad police', 'Bill and account collectors', 'Cargo and freight agents', 'Glaziers', 'Dining room and cafeteria attendants and bartender helpers', 'First-line supervisors of mechanics, installers, and repairers', 'Economists', 'Sales representatives, services, all other', 'Construction managers', 'Crossing guards', 'Molders, shapers, and casters, except metal and plastic', 'Medical transcriptionists', 'Earth drillers, except oil and gas', 'Chemists and materials scientists', 'Massage therapists', 'Communications equipment operators, all other', 'Surveyors, cartographers, and photogrammetrists', 'Precision instrument and equipment repairers', 'Software developers, applications and systems software', 'Computer systems analysts', 'Counter and rental clerks', 'Paving, surfacing, and tamping equipment operators', 'Food servers, nonrestaurant', 'Miscellaneous mathematical science occupations', 'Fabric and apparel patternmakers', 'First-line supervisors of gaming workers', 'Mail clerks and mail machine operators, except postal service', 'Speech-language pathologists', 'Psychologists', 'Public relations specialists', 'Sales and related workers, all other', 'Industrial truck and tractor operators', 'First-line supervisors of production and operating workers', 'Inspectors, testers, sorters, samplers, and weighers', 'Helpers--extraction workers', 'Securities, commodities, and financial services sales agents', 'Gaming managers', 'Musicians, singers, and related workers', 'Plasterers and stucco masons', 'Subway, streetcar, and other rail transportation workers', 'Cutting workers', 'Physical scientists, all other', 'Urban and regional planners', 'Receptionists and information clerks', 'Nurse midwives', 'First-line supervisors of office and administrative support workers', 'Billing and posting clerks ', 'Computer hardware engineers', 'Miscellaneous plant and system operators', 'Telephone operators', 'Miscellaneous agricultural workers ', 'Electric motor, power tool, and related repairers', 'Hazardous materials removal workers', 'Advertising and promotions managers', 'Flight attendants', 'Manufactured building and mobile home installers', 'Hosts and hostesses, restaurant, lounge, and coffee shop', 'Logging workers', 'Brickmasons, blockmasons, and stonemasons', 'Wholesale and retail buyers, except farm products', 'First-line supervisors of police and detectives', 'Residential advisors', 'Other teachers and instructors', 'Designers', 'Roofers', 'Textile bleaching and dyeing machine operators and tenders', 'Miscellaneous construction and related workers, including solar photovoltaic installers', 'Agricultural inspectors', 'Helpers, construction trades', 'Actuaries', 'Automotive and watercraft service attendants   ', 'Financial specialists, all other', 'Highway maintenance workers', 'Tellers', 'Miscellaneous media and communication workers', 'Bus and truck mechanics and diesel engine specialists', 'Models, demonstrators, and product promoters', 'Bus drivers', 'Electronic equipment installers and repairers, motor vehicles', 'Probation officers and correctional treatment specialists', 'Postal service clerks', 'Tool grinders, filers, and sharpeners', 'Petroleum engineers', 'Packers and packagers, hand', 'Production, planning, and expediting clerks', 'Personal care and service workers, all other ', 'Cooling and freezing equipment operators and tenders', 'Accountants and auditors', 'Electrical power-line installers and repairers', 'Industrial production managers', 'Statisticians', 'Human resources workers', 'Meeting, convention, and event planners', 'Dancers and choreographers', 'Construction and building inspectors', 'Database administrators', 'Transportation inspectors', 'Nurse anesthetists', 'Helpers--production workers', 'Business operations specialists, all other', 'Fish and game wardens', 'Plating and coating machine setters, operators, and tenders, metal and plastic', 'Laundry and dry-cleaning workers', 'Medical assistants', 'Semiconductor processors', 'Electricians', 'Structural iron and steel workers', 'Life scientists, all other', 'Computer control programmers and operators', 'Computer operators', 'Power plant operators, distributors, and dispatchers', 'Announcers', 'Hoist and winch operators', 'Physician assistants', 'Advertising sales agents', 'Elevator installers and repairers', 'Grounds maintenance workers', 'Upholsterers', 'Shoe machine operators and tenders', 'Miscellaneous life, physical, and social science technicians', 'Information and record clerks, all other', 'Electrical, electronics, and electromechanical assemblers', 'Heating, air conditioning, and refrigeration mechanics and installers', 'Medical and health services managers', 'Entertainers and performers, sports and related workers, all other', 'Welding, soldering, and brazing workers', 'Interviewers, except eligibility and loan', 'Directors, religious activities and education', 'Packaging and filling machine operators and tenders', 'Roof bolters, mining', 'Podiatrists', 'Property, real estate, and community association managers', 'Health practitioner support technologists and technicians', 'Stationary engineers and boiler operators', 'Metal workers and plastic workers, all other', 'Pipelayers, plumbers, pipefitters, and steamfitters', 'Legislators', 'Taxi drivers and chauffeurs', 'Chiropractors', 'Carpet, floor, and tile installers and finishers', 'Web developers', 'Library assistants, clerical', 'Civil engineers', 'Miscellaneous health technologists and technicians', 'Transportation, storage, and distribution managers', 'Preschool and kindergarten teachers', 'Morticians, undertakers, and funeral directors', 'Bookkeeping, accounting, and auditing clerks', 'Other installation, maintenance, and repair workers, including wind turbine service technicians', 'Chefs and head cooks', 'Social science research assistants', 'Insulation workers', 'Laborers and freight, stock, and material movers, hand', 'Textile cutting machine setters, operators, and tenders', 'Tailors, dressmakers, and sewers', 'Insurance underwriters', 'Librarians', 'Textile winding, twisting, and drawing out machine setters, operators, and tenders', 'Compensation, benefits, and job analysis specialists', 'Automotive glass installers and repairers', 'Administrative services managers', 'Motion picture projectionists', 'Market research analysts and marketing specialists', 'Electrical and electronics repairers, industrial and utility', 'Graders and sorters, agricultural products', 'Transportation security screeners', 'Human resources assistants, except payroll and timekeeping', 'Mining machine operators', 'Miscellaneous social scientists and related workers, including sociologists', 'Metal furnace operators, tenders, pourers, and casters', 'Computer and information research scientists', 'Painters, construction and maintenance', 'Marine engineers and naval architects', 'Industrial and refractory machinery mechanics', 'Lawyers', 'Optometrists', 'Physical therapist assistants and aides', 'Office and administrative support workers, all other', 'Machinists', 'Engineering technicians, except drafters', 'Dredge, excavating, and loading machine operators', 'Food batchmakers', 'Aerospace engineers', 'Weighers, measurers, checkers, and samplers, recordkeeping', 'Miscellaneous woodworkers, including model makers and patternmakers', 'Heavy vehicle and mobile equipment service technicians and mechanics', 'Machine feeders and offbearers', 'Food processing workers, all other', 'Personal care aides', 'Operations research analysts', 'Other extraction workers', 'Painting workers', 'Sales representatives, wholesale and manufacturing', 'Electrical and electronics engineers', 'Etchers and engravers', 'Stock clerks and order fillers', 'Furnace, kiln, oven, drier, and kettle operators and tenders', 'Janitors and building cleaners', 'First-line supervisors of construction trades and extraction workers', 'Tax preparers', 'Maintenance workers, machinery', 'Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic', 'Layout workers, metal and plastic', 'Nonfarm animal caretakers', 'Biological technicians', 'Special education teachers', 'Water and wastewater treatment plant and system operators', 'Paper goods machine setters, operators, and tenders', 'Butchers and other meat, poultry, and fish processing workers', 'Healthcare support workers, all other, including medical equipment preparers', 'Nursing, psychiatric, and home health aides', 'Architects, except naval', 'Judges, magistrates, and other judicial workers', 'Tool and die makers', 'Lifeguards and other recreational, and all other protective service workers', 'Gaming services workers', 'Elementary and middle school teachers', 'Waiters and waitresses', 'Automotive body and related repairers', 'Social and human service assistants', 'Parking lot attendants', 'Bartenders', 'Registered nurses', 'Operating engineers and other construction equipment operators, including pile-driver operators', 'Astronomers and physicists', 'Ship engineers', 'Railroad conductors and yardmasters', 'Conveyor operators and tenders', 'Surveying and mapping technicians', 'Sailors and marine oilers', 'First-line supervisors of landscaping, lawn service, and groundskeeping workers', 'Shipping, receiving, and traffic clerks', 'Drilling and boring machine tool setters, operators, and tenders, metal and plastic ', 'Food preparation workers', 'Buyers and purchasing agents, farm products', 'Door-to-door sales workers, news and street vendors, and related workers', 'Rolling machine setters, operators, and tenders, metal and plastic', 'Diagnostic related technologists and technicians', 'Telemarketers', 'Automotive service technicians and mechanics', 'Court, municipal, and license clerks', 'Computer support specialists', 'Environmental scientists and geoscientists', 'Heat treating equipment setters, operators, and tenders, metal and plastic', 'Insurance claims and policy processing clerks', 'Cleaning, washing, and metal pickling equipment operators and tenders', 'Photographers', 'Railroad brake, signal, and switch operators', 'Retail salespersons', 'Aircraft pilots and flight engineers', 'Extruding, forming, pressing, and compacting machine setters, operators, and tenders', 'Word processors and typists', 'Training and development specialists', 'Credit counselors and loan officers', 'Air traffic controllers and airfield operations specialists', 'Avionics technicians', 'File clerks', 'Furniture finishers', 'New accounts clerks', 'Secretaries and administrative assistants', 'Fire inspectors', 'Signal and track switch repairers', 'Chief executives', 'Atmospheric and space scientists', 'Parts salespersons', 'Insurance sales agents', 'Meter readers, utilities', 'Driver/sales workers and truck drivers', 'Pumping station operators', 'Postsecondary teachers', 'Phlebotomists', 'Actors', 'Payroll and timekeeping clerks', 'Office machine operators, except computer', 'Agricultural and food scientists', 'Printing workers, except prepress technicians and workers', 'Radiation therapists', 'Drywall installers, ceiling tile installers, and tapers', 'Animal breeders', 'Multiple machine tool setters, operators, and tenders, metal and plastic ', 'Explosives workers, ordnance handling experts, and blasters', 'Bridge and lock tenders', 'Fence erectors', 'Food service managers', 'Occupational therapy assistants and aides', 'Survey researchers', 'Credit authorizers, checkers, and clerks', 'Producers and directors', 'Embalmers and funeral attendants', 'Drafters', 'Agents and business managers of artists, performers, and athletes', 'Judicial law clerks', 'Ambulance drivers and attendants, except emergency medical technicians', 'Farmers, ranchers, and other agricultural managers', 'Radio and telecommunications equipment installers and repairers', 'Reinforcing iron and rebar workers', 'Conservation scientists and foresters', 'Budget analysts', 'Data entry keyers', 'Coin, vending, and amusement machine servicers and repairers', 'Telecommunications line installers and repairers', 'Riggers', 'Claims adjusters, appraisers, examiners, and investigators', 'Boilermakers', 'Textile knitting and weaving machine setters, operators, and tenders', 'Public relations and fundraising managers', 'Prepress technicians and workers', 'Customer service representatives', 'Pharmacists', 'Engineers, all other', 'General and operations managers', 'First-line supervisors of protective service workers, all other', 'Postal service mail carriers', 'Aircraft mechanics and service technicians', 'Purchasing agents, except wholesale, retail, and farm products', 'Medical, dental, and ophthalmic laboratory technicians', 'First-line supervisors of farming, fishing, and forestry workers', 'Nurse practitioners', 'Licensed practical and licensed vocational nurses', 'Forging machine setters, operators, and tenders, metal and plastic', 'Material moving workers, all other', 'Fishing and hunting workers', 'Lathe and turning machine tool setters, operators, and tenders, metal and plastic', 'Education administrators', 'Financial clerks, all other', 'Food cooking machine operators and tenders', 'Home appliance repairers', 'Forest and conservation workers', ""Police and sheriff's patrol officers"", 'Private detectives and investigators', 'Locksmiths and safe repairers', 'Tank car, truck, and ship loaders', 'Social workers', 'First-line supervisors of retail sales workers', 'Nuclear technicians', 'Electrical and electronics installers and repairers, transportation equipment', 'Reservation and transportation ticket agents and travel clerks', 'Commercial divers', 'Dietitians and nutritionists', 'Aircraft structure, surfaces, rigging, and systems assemblers', 'Emergency medical technicians and paramedics', 'Nuclear engineers', 'Pest control workers', 'Control and valve installers and repairers', 'Loan interviewers and clerks', 'Miscellaneous entertainment attendants and related workers', 'Library technicians', 'Crushing, grinding, polishing, mixing, and blending workers', 'Marketing and sales managers', 'Miscellaneous textile, apparel, and furnishings workers, including extruding and forming machine setters, operators, and tenders, synthetic and glass fibers', 'Mathematicians', 'Physicians and surgeons', 'Security and fire alarm systems installers', 'Helpers--installation, maintenance, and repair workers ', 'Television, video, and motion picture camera operators and editors', 'Miscellaneous community and social service specialists, including health educators and community health workers', 'Bailiffs, correctional officers, and jailers', 'Mine shuttle car operators', 'Carpenters', 'Archivists, curators, and museum technicians', 'Brokerage clerks', 'Ship and boat captains and operators', 'Financial managers', 'Molders and molding machine setters, operators, and tenders, metal and plastic', 'First-line supervisors of non-retail sales workers', 'Computer programmers', 'Cement masons, concrete finishers, and terrazzo workers', 'Dishwashers', 'Other transportation workers ', 'Managers, all other', 'Architectural and engineering managers', 'Production workers, all other', 'Security guards and gaming surveillance officers', 'Religious workers, all other', 'Biomedical engineers', 'Medical scientists', 'Training and development managers', 'Small engine mechanics', 'Recreational therapists', 'Lodging managers', 'Logisticians', 'Real estate brokers and sales agents', 'Woodworking machine setters, operators, and tenders, except sawing', 'Respiratory therapists', 'Gaming cage workers', 'Dental hygienists', 'Clinical laboratory technologists and technicians', 'Editors', 'Tax examiners and collectors, and revenue agents', 'Bakers', 'Combined food preparation and serving workers, including fast food', 'Occupational therapists', 'First-line supervisors of fire fighting and prevention workers', 'Milling and planing machine setters, operators, and tenders, metal and plastic', 'Miscellaneous media and communications equipment workers, including broadcast and sound engineering technicians and radio operators', 'Sewing machine operators', 'Biological scientists', 'Proofreaders and copy markers', 'Cashiers', 'Eligibility interviewers, government programs', 'Industrial engineers, including health and safety', 'Mechanical engineers', 'Postmasters and mail superintendents', 'Fundraisers', 'Maids and housekeeping cleaners', 'Agricultural and food science technicians', 'Counselors', 'Computer network architects ', 'Management analysts', 'Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers', 'Health diagnosing and treating practitioners, all other', 'Animal control workers', 'Order clerks', 'Personal financial advisors', 'Parking enforcement workers', 'First-line supervisors of correctional officers', 'Compliance officers', 'Chemical technicians', 'Paperhangers', 'Shoe and leather workers and repairers', 'Millwrights', 'Dentists', 'Hairdressers, hairstylists, and cosmetologists', 'Secondary school teachers', 'First-line supervisors of food preparation and serving workers', 'Social and community service managers', 'Food preparation and serving related workers, all other', 'Cutting, punching, and press machine setters, operators, and tenders, metal and plastic', 'Opticians, dispensing', 'Audiologists', 'Maintenance and repair workers, general', 'Motor vehicle operators, all other', 'Sales engineers', 'Artists and related workers', 'Agricultural engineers', 'Sheet metal workers', 'Cleaners of vehicles and equipment', 'Credit analysts', 'Information security analysts', 'Clergy', 'News analysts, reporters and correspondents', 'Septic tank servicers and sewer pipe cleaners', 'Purchasing managers', 'Derrick, rotary drill, and service unit operators, oil, gas, and mining', 'Chemical processing machine setters, operators, and tenders', 'Extruding and drawing machine setters, operators, and tenders, metal and plastic', 'Correspondence clerks', 'Computer and information systems managers', 'Counter attendants, cafeteria, food concession, and coffee shop', 'Veterinarians', 'Teacher assistants', 'Food and tobacco roasting, baking, and drying machine operators and tenders', 'Desktop publishers', 'Baggage porters, bellhops, and concierges', 'Technical writers', 'Tour and travel guides', 'Engine and other machine assemblers', 'Financial analysts', 'Human resources managers', 'Miscellaneous legal support workers', 'Financial examiners', 'Refuse and recyclable material collectors', 'Cooks', 'Structural metal fabricators and fitters', 'Couriers and messengers', 'Materials engineers', 'Funeral service managers', 'Emergency management directors', 'Statistical assistants', 'Locomotive engineers and operators', 'Barbers', 'Cost estimators', 'Hotel, motel, and resort desk clerks', 'Cabinetmakers and bench carpenters', 'Compensation and benefits managers', 'Chemical engineers', 'Tire builders', 'Geological and petroleum technicians', 'Miscellaneous assemblers and fabricators', 'Natural sciences managers', 'Pressers, textile, garment, and related materials', 'Other healthcare practitioners and technical occupations', 'Writers and authors', 'Medical records and health information technicians', 'Other education, training, and library workers, except teacher assistants', 'Office clerks, general', 'Jewelers and precious stone and metal workers', 'Electronic home entertainment equipment installers and repairers', 'Computer occupations, all other', 'Pharmacy aides', 'Recreation and fitness workers', 'Supervisors of transportation and material moving workers', 'Transportation attendants, except flight attendants', 'Detectives and criminal investigators', 'Miscellaneous personal appearance workers', 'Switchboard operators, including answering service', 'Model makers and patternmakers, metal and plastic', 'First-line supervisors of housekeeping and janitorial workers', 'Photographic process workers and processing machine operators', 'Childcare workers', 'Mining and geological engineers, including mining safety engineers', 'Physical therapists', 'Roustabouts, oil and gas', 'Appraisers and assessors of real estate', 'Sawing machine setters, operators, and tenders, wood', 'First-line supervisors of personal service workers', 'Dental assistants', 'Procurement clerks', 'Animal trainers', 'Travel agents', 'Firefighters', 'Veterinary assistants and laboratory animal caretakers']",,,,,,
